Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,
Filename: p23stt02.csv,,,,,,,,,,,,,,,,,,,
"Table 2. Prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2022 and 2023",,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2023 – Statistical Tables   NCJ 310197,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2022 and 2023",,,,,,,,,,,,,,,,,,,
"Authors: Derek Mueller, PhD, and Rich Kluckow, DSW, BJS Statisticians",,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov,,,,,,,,,,,,,,,,,,,
Date of version: 9/30/25,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Table 2. Prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2022 and 2023",,,,,,,,,,,,,,,,,,,
,,2022,,,,2023,,,,"Change, 2022–2023",,,,"Percent change, 2022–2023",,,,,
,New Hampshire,"2,086","1,932",154,,"2,115","1,971",144,,29,39,-10,,1.4,,2,,-6.5,
,New Jersey,"12,657","12,233",424,,"11,675","11,203",472,,-982,"-1,030",48,,-7.8,,-8.4,,11.3,
,New Mexico,"4,970","4,488",482,,"5,586","5,044",542,,616,556,60,,12.4,,12.4,,12.4,
,New York,"31,148","29,960","1,188",,"32,583","31,261","1,322",,"1,435","1,301",134,,4.6,,4.3,,11.3,
,North Carolina,"29,627","27,340","2,287",,"30,685","28,174","2,511",,"1,058",834,224,,3.6,,3.1,,9.8,
,North Dakota,"1,817","1,584",233,,"1,899","1,656",243,,82,72,10,,4.5,,4.5,,4.3,
,Ohio,"45,313","41,655","3,658",,"46,530","42,679","3,851",,"1,217","1,024",193,,2.7,,2.5,,5.3,
,Oklahoma/c,"22,941","20,709","2,232",,"22,283","20,082","2,201",,-658,-627,-31,,-2.9,,-3,,-1.4,
,Oregon,"12,518","11,606",912,,"12,316","11,415",901,,-202,-191,-11,,-1.6,,-1.6,,-1.2,
,Pennsylvania,"37,910","35,799","2,111",,"38,860","36,735","2,125",,950,936,14,,2.5,,2.6,,0.7,
,Rhode Island/b,"2,393","2,276",117,,"2,519","2,388",131,,126,112,14,,5.3,,4.9,,12,
,South Carolina,"16,318","15,155","1,163",,"16,453","15,233","1,220",,135,78,57,,0.8,,0.5,,4.9,
,South Dakota,"3,444","2,915",529,,"3,764","3,189",575,,320,274,46,,9.3,,9.4,,8.7,
,Tennessee,"23,735","21,518","2,217",,"24,408","22,017","2,391",,673,499,174,,2.8,,2.3,,7.8,
,Texas,"139,631","128,268","11,363",,"149,264","137,085","12,179",,"9,633","8,817",816,,6.9,,6.9,,7.2,
,Utah,"6,009","5,567",442,,"6,402","5,929",473,,393,362,31,,6.5,,6.5,,7,
,Vermont/b,"1,360","1,258",102,,"1,334","1,217",117,,-26,-41,15,,-1.9,,-3.3,,14.7,
,Virginia,"27,162","25,326","1,836",,"27,442","25,545","1,897",,280,219,61,,1,,0.9,,3.3,
,Washington,"13,772","12,955",817,,"14,441","13,526",915,,669,571,98,,4.9,,4.4,,12,
,West Virginia,"5,873","5,260",613,,"5,800","5,181",619,,-73,-79,6,,-1.2,,-1.5,,1,
,Wisconsin,"20,873","19,503","1,370",,"22,418","20,904","1,514",,"1,545","1,401",144,,7.4,,7.2,,10.5,
,Wyoming,"2,154","1,907",247,,"2,212","1,956",256,,58,49,9,,2.7,,2.6,,3.6,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website (https://bjs.ojp.gov/library/publications/prisoners-2023-statistical-tables). Counts are for December 31 of each year and are based on prisoners with any sentence status. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,,,,,,,,
--Less than 0.05%.,,,,,,,,,,,,,,,,,,,
a/Includes adult prisoners held in nonsecure community corrections facilities and adults and persons age 17 or younger held in privately operated facilities.,,,,,,,,,,,,,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations. Data are not reported in BJS’s annual Jail Inmates reports.,,,,,,,,,,,,,,,,,,,
c/Includes persons who were waiting in county jail to be moved to state prison.,,,,,,,,,,,,,,,,,,,
d/Does not include persons held in federal or other state prisons in its jurisdiction count.,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2022 and 2023.",,,,,,,,,,,,,,,,,,,
